DEVICE,SERIAL_NO,OEM,CIRCLE,ALARM_STATUS,SEVERITY,ALARM_TYPE,RAISED,CLEARED
CAMBSITE001,SN-CAMB-0001,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE002,SN-CAMB-0002,Cambium,DL,ACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE003,SN-CAMB-0003,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE004,SN-CAMB-0004,Cambium,DL,INACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE005,SN-CAMB-0005,Cambium,DL,ACTIVE,CRITICAL,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE006,SN-CAMB-0006,Cambium,DL,ACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,
CAMBSITE007,SN-CAMB-0007,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE008,SN-CAMB-0008,Cambium,DL,INACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE009,SN-CAMB-0009,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE010,SN-CAMB-0010,Cambium,DL,ACTIVE,CRITICAL,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE011,SN-CAMB-0011,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE012,SN-CAMB-0012,Cambium,DL,INACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE013,SN-CAMB-0013,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE014,SN-CAMB-0014,Cambium,DL,ACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE015,SN-CAMB-0015,Cambium,DL,ACTIVE,CRITICAL,STATUS,20-Nov-2024 01:50:00,
CAMBSITE016,SN-CAMB-0016,Cambium,DL,INACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE017,SN-CAMB-0017,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE018,SN-CAMB-0018,Cambium,DL,ACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,
CAMBSITE019,SN-CAMB-0019,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE020,SN-CAMB-0020,Cambium,DL,INACTIVE,CRITICAL,RSL LOW,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE021,SN-CAMB-0021,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE022,SN-CAMB-0022,Cambium,DL,ACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE023,SN-CAMB-0023,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE024,SN-CAMB-0024,Cambium,DL,INACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE025,SN-CAMB-0025,Cambium,DL,ACTIVE,CRITICAL,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE026,SN-CAMB-0026,Cambium,DL,ACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE027,SN-CAMB-0027,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE028,SN-CAMB-0028,Cambium,DL,INACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE029,SN-CAMB-0029,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE030,SN-CAMB-0030,Cambium,DL,ACTIVE,CRITICAL,STATUS,20-Nov-2024 01:50:00,
CAMBSITE031,SN-CAMB-0031,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE032,SN-CAMB-0032,Cambium,DL,INACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE033,SN-CAMB-0033,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE034,SN-CAMB-0034,Cambium,DL,ACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE035,SN-CAMB-0035,Cambium,DL,ACTIVE,CRITICAL,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE036,SN-CAMB-0036,Cambium,DL,INACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE037,SN-CAMB-0037,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE038,SN-CAMB-0038,Cambium,DL,ACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE039,SN-CAMB-0039,Cambium,DL,ACTIVE,WARNING,STATUS,20-Nov-2024 01:50:00,
CAMBSITE040,SN-CAMB-0040,Cambium,DL,INACTIVE,CRITICAL,CFG_IMP,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE041,SN-CAMB-0041,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE042,SN-CAMB-0042,Cambium,DL,ACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,
CAMBSITE043,SN-CAMB-0043,Cambium,DL,ACTIVE,WARNING,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE044,SN-CAMB-0044,Cambium,DL,INACTIVE,MAJOR,RSL LOW,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
CAMBSITE045,SN-CAMB-0045,Cambium,DL,ACTIVE,CRITICAL,STATUS,20-Nov-2024 01:50:00,
CAMBSITE046,SN-CAMB-0046,Cambium,DL,ACTIVE,MAJOR,CFG_IMP,20-Nov-2024 01:50:00,
CAMBSITE047,SN-CAMB-0047,Cambium,DL,ACTIVE,WARNING,RSL LOW,20-Nov-2024 01:50:00,
CAMBSITE048,SN-CAMB-0048,Cambium,DL,INACTIVE,MAJOR,STATUS,20-Nov-2024 01:50:00,20-Nov-2024 03:00:00
