Device Name,Alarm ID,Event Name,State,Severity,Raised At,Cleared At
RADWSITE001,RW-0001,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE002,RW-0002,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE003,RW-0003,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE004,RW-0004,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE005,RW-0005,Fan Failure,Cleared,Minor,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE006,RW-0006,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE007,RW-0007,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE008,RW-0008,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE009,RW-0009,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE010,RW-0010,Ethernet Link Down,Cleared,Major,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE011,RW-0011,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE012,RW-0012,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE013,RW-0013,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE014,RW-0014,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE015,RW-0015,Radio RSL Low,Cleared,Critical,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE016,RW-0016,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE017,RW-0017,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE018,RW-0018,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE019,RW-0019,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE020,RW-0020,Fan Failure,Cleared,Major,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE021,RW-0021,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE022,RW-0022,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE023,RW-0023,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE024,RW-0024,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE025,RW-0025,Ethernet Link Down,Cleared,Minor,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE026,RW-0026,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE027,RW-0027,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE028,RW-0028,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE029,RW-0029,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE030,RW-0030,Radio RSL Low,Cleared,Critical,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE031,RW-0031,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE032,RW-0032,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE033,RW-0033,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE034,RW-0034,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE035,RW-0035,Fan Failure,Cleared,Minor,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE036,RW-0036,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE037,RW-0037,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE038,RW-0038,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE039,RW-0039,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE040,RW-0040,Ethernet Link Down,Cleared,Major,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE041,RW-0041,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE042,RW-0042,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE043,RW-0043,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE044,RW-0044,Fan Failure,Active,Major,2026-08-14T10:00:00Z,
RADWSITE045,RW-0045,Radio RSL Low,Cleared,Critical,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
RADWSITE046,RW-0046,Ethernet Link Down,Active,Major,2026-08-14T10:00:00Z,
RADWSITE047,RW-0047,Fan Failure,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE048,RW-0048,Radio RSL Low,Active,Critical,2026-08-14T10:00:00Z,
RADWSITE049,RW-0049,Ethernet Link Down,Active,Minor,2026-08-14T10:00:00Z,
RADWSITE050,RW-0050,Fan Failure,Cleared,Major,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z
